ranking,title,genre,certificate,release_year,runtime,metascore_rating,directors,stars,votes,gross_revenue,actors_atings,direction_atings,screenplay_ratings,oscars,oscar_nominations,bafta_awards,bafta_nominations,golden_globes,golden_globe_nominations,link
57,High Noon,"Drama, Thriller, Western",PG,-1952,85 min,89,Fred Zinnemann,"Gary Cooper, Grace Kelly, Thomas Mitchell, Lloyd Bridges","109,961","9,450,000",4.6,4.7,4.7,4,7,0,0,4,7,https://www.imdb.com/title/tt0044706/
58,Braveheart,"Biography, Drama, War",R,-1995,178 min,68,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen","1,089,282","75,600,000",4.7,4.8,4.7,5,10,3,5,1,4,https://www.imdb.com/title/tt0112573/
59,Dances with Wolves,"Adventure, Drama, Western",PG-13,-1990,181 min,72,Kevin Costner,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant","289,689","184,208,848",4.5,4.8,4.6,7,12,0,9,3,6,https://www.imdb.com/title/tt0099348/
6,Citizen Kane,"Drama, Mystery",PG,-1941,119 min,100,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead","465,118","1,585,634",5,5,5,1,9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0033467/
60,Jurassic Park,"Action, Adventure, Sci-Fi",PG-13,-1993,127 min,68,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough","1,063,790","402,453,882",4.6,4.9,4.7,3,3,1,2,0,0,https://www.imdb.com/title/tt0107290/
61,The Exorcist,Horror,R,-1973,122 min,83,William Friedkin,"Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb","453,583","232,906,145",4.8,4.8,4.8,2,10,0,1,4,7,https://www.imdb.com/title/tt0070047/
62,The Pianist,"Biography, Drama, Music",R,-2002,150 min,85,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox","908,905","32,572,577",4.9,4.8,4.7,3,7,1,5,0,2,https://www.imdb.com/title/tt0253474/
63,Goodfellas,"Biography, Crime, Drama",R,-1990,145 min,92,Henry Hill,"Martin Scorsese, Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco","1,253,649","46,836,394",4.8,4.9,5,1,6,5,7,0,5,https://www.imdb.com/title/tt0099685/
64,The Deer Hunter,"Drama, War",R,-1978,183 min,90,Michael Cimino,"Robert De Niro, Christopher Walken, John Cazale, John Savage","361,373","48,979,328",5,4.8,4.9,5,9,2,9,1,6,https://www.imdb.com/title/tt0077416/
65,All Quiet on the Western Front,"Drama, War",Passed,-1930,152 min,91,Lewis Milestone,"Lew Ayres, Louis Wolheim, John Wray, Arnold Lucy","67,550","3,270,000",4.7,4.9,4.7,2,4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0020629/
66,Bonnie and Clyde,"Action, Biography, Crime",R,-1967,111 min,86,Bonnie Parker,"Clyde Barrow, Arthur Penn, Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman","120,407",N/A,4.8,4.7,4.8,2,10,2,4,0,7,https://www.imdb.com/title/tt0061418/
67,The French Connection,"Action, Crime, Drama",R,-1971,104 min,94,William Friedkin,"Gene Hackman, Roy Scheider, Fernando Rey, Tony Lo Bianco","135,217","15,630,710",4.9,4.8,4.8,5,8,2,5,3,4,https://www.imdb.com/title/tt0067116/
68,City Lights,"Comedy, Drama, Romance",G,-1931,87 min,99,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers","195,610","19,181",4.9,4.9,4.8,0,0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0021749/
69,It Happened One Night,"Comedy, Romance",Passed,-1934,105 min,87,Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns","111,985","4,360,000",4.7,4.8,4.8,5,5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0025316/
7,Gone with the Wind,"Drama, Romance, War",Passed,-1939,238 min,97,Victor Fleming,"George Cukor, Sam Wood, Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil","333,468","198,676,459",5,5,5,8,13,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0031381/
